연번,급,관할청,설립,학교명,다문화,"다문화교육 유치원, 중점학교"
,,,,,특별학급,
1,유,동부,사립,사랑유치원,,○
2,유,남부,공립,서울구로남초병설유치원,,○
3,유,남부,공립,서울대동초병설유치원,,○
4,유,남부,공립,서울영림초병설유치원,,○
5,유,남부,사립,서울남유치원,,○
6,유,중부,사립,한일유치원,,○
7,유,동작관악,사립,양문유치원,,○
8,유,성북강북,사립,동선유치원,,○
9,유,성북강북,사립,세아유치원,,○
10,초,동부,공립,서울면동초등학교,,○
11,초,동부,공립,서울홍파초등학교,○,○
12,초,남부,공립,서울구로남초등학교,○,○
13,초,남부,공립,서울구로초등학교,○,○
14,초,남부,공립,서울대동초등학교,○,○
15,초,남부,공립,서울도신초등학교,○,○
16,초,남부,공립,서울동구로초등학교,○,○
17,초,남부,공립,서울문성초등학교,○,○
18,초,남부,공립,서울신대림초등학교,○,○
19,초,남부,공립,서울신영초등학교,○,○
20,초,남부,공립,서울영림초등학교,,○
21,초,남부,공립,서울영일초등학교,○,○
22,초,남부,공립,서울오정초등학교,,○
23,초,남부,사립,지구촌학교,○,○
24,초,중부,공립,서울광희초등학교,○,○
25,초,중부,공립,서울보광초등학교,○,○
26,초,중부,공립,서울용암초등학교,○,○
27,초,중부,공립,서울이태원초등학교,○,○
28,초,중부,공립,서울충무초등학교,○,○
29,초,강서양천,공립,서울방화초등학교,,○
30,초,동작관악,공립,서울문창초등학교,○,○
31,초,동작관악,공립,서울조원초등학교,,○
32,초,성동광진,공립,서울동명초등학교,○,○
33,초,성동광진,공립,서울동의초등학교,,○
34,초,성동광진,공립,서울성수초등학교,○,○
35,중,서부,사립,선정중학교,,○
36,중,남부,공립,구로중학교,○,○
37,중,남부,공립,대림중학교,○,○
38,중,남부,공립,영남중학교,,○
39,중,남부,공립,오남중학교,,○
40,중,남부,대안,움틈학교,○,
41,중,중부,사립,오산중학교,,○
42,중,강남서초,대안,다애다문화학교,○,○
43,중,성북강북,공립,인수중학교,,○
44,고,본청,공립각종,서울다솜관광고등학교,○,○
45,고,본청(서부),사립,선정고등학교,,○
